content,cleaned_content,sentiment
Smooth on a samsung,smooth samsung,neutral
Most maney,maney,neutral
Excellent!,excellent,positive
Easy transaction,easy transaction,positive
Love this app. So easy to send & receive money from family members.,love app easy send receive money family members,positive
Convenient and easy to use.,convenient easy use,positive
Excellent,excellent,positive
You want better banking download chime PayPal sucks and they are crooks that steal your money PayPal gets a bad review from me they closed my account and stolen my money?,want better banking download chime paypal sucks crooks steal money paypal gets bad review closed account stolen money,negative
I opened a personal but PayPal made it a business account I'm so dispointed,opened personal paypal made business account dispointed,neutral
Very good,good,positive
It's faster and easier.,faster easier,positive
"Works good, I like",works good like,positive
Nice,nice,positive
It's easy and friendly,easy friendly,positive
"I could not find the ""send"" function. Please make more accessible.",could find send function please make accessible,positive
great app,great app,positive
It's cool if they wouldn't let the developers be able to hack into people's accounts and illegally transfer all there money into a dummy account. Had that happen to me not that long ago.,cool let developers able hack people accounts illegally transfer money dummy account happen long ago,positive
Wont let me sign in,wont let sign,neutral
"I don't use this term often, but the way these guys do business is disgraceful at best. I was forced to use this service to complete a $3000 payment which was ultimately refunded by the vendor. Nowhere did PayPal say ""we'll hold your funds hostage for 30+ days if there's a refund"". So I found out on December 9th that PayPal intended to hold my funds for 30 BUSINESS days, a month and a half to complete a basic refund. Is PayPal stock trading with my money? Give it back. Unbelievable.",use term often way guys business disgraceful best forced use service complete payment ultimately refunded vendor nowhere paypal say hold funds hostage days refund found december th paypal intended hold funds business days month half complete basic refund paypal stock trading money give back unbelievable,positive
Awesome,awesome,positive
Working well. I didn't see any bug. Easy access.,working well see bug easy access,positive
Won't Use balance as default,use balance default,neutral
"I mostly appreciate how one can gain access to their account in a variety of ways if you're not able to access your primary email and phone, which is already unfortunate enough. I won't sit here and list them but there are many other review-worthy pros to the always seemingly, advanced for it's time, financial application.",mostly appreciate one gain access account variety ways able access primary email phone already unfortunate enough sit list many review worthy pros always seemingly advanced time financial application,positive
"Another fraudulent company disabling screenshots of their apps error and claiming its for users' own good in deliberate bad faith. Google Android is also guilty of allowing this behavior and ignoring user and human rights throughout all their platforms. Also gives a black screen when attempting to verify identity, which is a well known issue, yet there is NO SUPPORT.",another fraudulent company disabling screenshots apps error claiming users good deliberate bad faith google android also guilty allowing behavior ignoring user human rights throughout platforms also gives black screen attempting verify identity well known issue yet support,negative
Seamless transaction,seamless transaction,neutral
It was a great help for my friend,great help friend,positive
"I just signed up and my account has been permanently limited, I can use it And I just opened it. I haven't even done anything on the app. This is literally the most annoying app I've ever been on. Please fix it cause I delete my account since I apparently went against their user guidelines or whatever.",signed account permanently limited use opened even done anything app literally annoying app ever please fix cause delete account since apparently went user guidelines whatever,negative
Everything perfect,everything perfect,positive
Great Although I wish my phone was compatible,great although wish phone compatible,positive
6 stars⭐⭐⭐⭐⭐⭐,stars,neutral
Kushal rana,kushal rana,neutral
Great app Good staff,great app good staff,positive
easy to use,easy use,positive
"App freezes when trying to upload any photo to verify Drivers License. Can't recieve crypto without verifying identity. It says to use a desktop... desktop makes you scan a QR code and finish on your phone. All it does is freeze with a blank white screen. Tried updating app, clearing cookies and cache. Nothing works. You call them... they got no clue. Total waste of time if you want to move any crypto",app freezes trying upload photo verify drivers license recieve crypto without verifying identity says use desktop desktop makes scan qr code finish phone freeze blank white screen tried updating app clearing cookies cache nothing works call got clue total waste time want move crypto,negative
It's working,working,neutral
Always the best,always best,positive
Love PayPal.. And esp now with cash back features,love paypal esp cash back features,positive
Totally disappointed from this app coz in sign up phone number otp code not working,totally disappointed app coz sign phone number otp code working,negative
chitchit,chitchit,neutral
"Always good, great security. Locked myself out a couple of times.",always good great security locked couple times,positive
I wish I could screenshot my payment,wish could screenshot payment,positive
I need help with making a disputet for a misleading ad from Totaladblock they charged me 4 times for one transaction,need help making disputet misleading ad totaladblock charged times one transaction,negative
I have not use it bet it looks okay,use bet looks okay,positive
I use this to help my friends and family and other in need. It is a great app.,use help friends family need great app,positive
You buy things through Facebook.markekplatpla et or buy tickets to events going on in your in community. Using my Wallet through my Mastercard,buy things facebook markekplatpla et buy tickets events going community using wallet mastercard,neutral
fast and convenient*,fast convenient,neutral
Cash a check isn't working all of a sudden.,cash check working sudden,neutral
Very reliable and worthy,reliable worthy,positive
Great,great,positive
Good ⭐,good,positive
GOOD LOVE IT,good love,positive
Great app,great app,positive
Update is horrible,update horrible,negative
🫶🫶🫶🫶,,neutral
It's good app,good app,positive
Immediate notifications. Fast and efficient. Very easy to understand.,immediate notifications fast efficient easy understand,positive
"Very helpful and efficient. Except that the subscription page is miserably designed. It is impossible to navigate and correct. Also, the Xoom service needs to connect with the main PayPal account so that you don't have to enter information every time. That is ridiculous.",helpful efficient except subscription page miserably designed impossible navigate correct also xoom service needs connect main paypal account enter information every time ridiculous,neutral
The app is the best,app best,positive
Every last PayPal great service great thank you great offers,every last paypal great service great thank great offers,positive
Stupid chapcta,stupid chapcta,negative
Quick and easy to use,quick easy use,positive
Very safe n convenient 😃😃😃,safe n convenient,positive
Verrynice app,verrynice app,neutral
so far so good,far good,positive
Nothing to say it's good,nothing say good,negative
The app is having problems all i want is to delete my account and i cant do it update the app please,app problems want delete account cant update app please,negative
Absolutely fabulous,absolutely fabulous,positive
What the heck this is really annoying this is my first time downloding and using the app and just after sighning up the tell me that they are parmanently restricting my account😡😡😡 i dont even get whyyy please u guys should resolve this issues cause i was really hopping to use this app,heck really annoying first time downloding using app sighning tell parmanently restricting account dont even get whyyy please u guys resolve issues cause really hopping use app,negative
Very bad,bad,negative
Very convenient,convenient,neutral
You can use it online at almost everywhere and in brick & mortar at a few places. We been using the app for over 10 years. It's still one of the best.,use online almost everywhere brick mortar places using app years still one best,positive
There is no option to deposit money on paypal,option deposit money paypal,neutral
"Does not allow to use ""."" as "","", very inconvenient for international users if the smartphone enforces the number-keyboard for the amount",allow use inconvenient international users smartphone enforces number keyboard amount,negative
Is very good app,good app,positive
Quick and fast way to send money overseas,quick fast way send money overseas,neutral
So convenient specially when you need to help out a family member that needs support fast.,convenient specially need help family member needs support fast,positive
"What on earth is wrong ? What is this struggle in creating this app? I have been on this for almost an hours,after security verification it returns me to fresh log in and at the same time gives error log in.....I am pist",earth wrong struggle creating app almost hours security verification returns fresh log time gives error log pist,negative
Moneypak,moneypak,neutral
"Hi I'm struggling to link my bank account to my Paypal account please help, it has rejected all my bank accounts, tyme bank and nedbank.how do I go about it? Thank you.",hi struggling link bank account paypal account please help rejected bank accounts tyme bank nedbank go thank,positive
Awesome,awesome,positive
Great,great,positive
I have a lot of good experience with this application,lot good experience application,positive
Great 👍🏽,great,positive
Easy and convenient.,easy convenient,positive
Great app,great app,positive
Still haven't received my $47.95 that they took out of my bank account. Use app to receive money but don't make purchases that you don't want. Because you aren't getting your refund.,still received took bank account use app receive money make purchases want getting refund,positive
To many issues that's why I'm closing my paypal account Thank you for letting me use this for so long .,many issues closing paypal account thank letting use long,positive
Works well,works well,positive
Highly recommended,highly recommended,positive
"Won't let me do anything, won't recognize my debit card won't let me load another card!!",let anything recognize debit card let load another card,neutral
Love this money spending opportunity,love money spending opportunity,positive
Quick and efficient,quick efficient,positive
Fun,fun,positive
"Trying to get back into my account, says I must use my camera to take a photo of my ID. I go and give it permissions to use my camera and it still fails to recognize that I gave it the permission it needs.",trying get back account says must use camera take photo id go give permissions use camera still fails recognize gave permission needs,negative
"Having family in the US and sending grandbabies money for Christmas when they can't come home for the holidays, using PayPal is safe and happens immediately.",family us sending grandbabies money christmas come home holidays using paypal safe happens immediately,positive
I like the convenience of locating and the ease of sending to who I want.,like convenience locating ease sending want,positive
Easy to pay and safe,easy pay safe,positive
Stugling,stugling,neutral
love Grampy and Grammy.!,love grampy grammy,positive
New update is causing it to close when you go to transfer balance to savings. Closes out and goes back to main screen from there. Only having issue since update.,new update causing close go transfer balance savings closes goes back main screen issue since update,neutral
I'm new and like the biscoin,new like biscoin,positive
Never had a problem with PayPal and I get early direct deposit,never problem paypal get early direct deposit,positive
Very great,great,positive
"Simple, easy & convenient",simple easy convenient,positive
Quick and easy to use,quick easy use,positive
Great using PayPal you feel safer transferring money as you have the safeguard of a business behind you,great using paypal feel safer transferring money safeguard business behind,positive
I like it,like,positive
I have never had a problem with doing business with payPal,never problem business paypal,positive
My financial center at this point.,financial center point,neutral
This app freezes your money for up to 7 business days do not use! Not good for emergencies!,app freezes money business days use good emergencies,positive
Excellent,excellent,positive
This is a new account and it's saying something is wrong with my account when I send money,new account saying something wrong account send money,negative
DON'T know how to use PayPal. Fees? Interest Rate?,know use paypal fees interest rate,positive
Love PayPal! Always use when possible to pay online for any and everything. They helped get my money back from a fraudulent company in no time it was back to my account in full. I highly recommend to everyone who does transactions online for anything.,love paypal always use possible pay online everything helped get money back fraudulent company time back account full highly recommend everyone transactions online anything,positive
☺️,,neutral
Love it. Used it for years.,love used years,positive
Easy to use,easy use,positive
"Simple, efficient and convenient 👍🏼👍🏼",simple efficient convenient,positive
having a hard time logging in pass words saved to Google what is the problem,hard time logging pass words saved google problem,negative
it isn't letting me access my cards. help,letting access cards help,positive
So cute,cute,positive
It logs out too quickly. It can ask for password a few times in 10 minutes. Disgusting!,logs quickly ask password times minutes disgusting,negative
I love this app,love app,positive
VERY PROFESIONAL,profesional,neutral
Very poor service,poor service,negative
Great,great,positive
I do not want my info on this site at all,want info site,positive
Had nothing but trouble since day 1 totally useless,nothing trouble since day totally useless,negative
😊 good times,good times,positive
cybersevuirity,cybersevuirity,neutral
Easy to use and gives you that bit of extra reassurance.,easy use gives bit extra reassurance,positive
Try to up date my information goes blank customer service no help can't send only deposit money,try date information goes blank customer service help send deposit money,positive
Always good,always good,positive
Useless....time wasting...,useless time wasting,negative
Don't dare getting a new phone and phone number and then proceed to login to the app with your new phone and add your new phone number to your account. You will be locked out of your account for days and treated like a miscreant with no remedy other than being told to wait and maybe try calling back some other time. Total joke of a company. I'll be closing my account I've had since 2008 as soon as I can log back into this horrible service. 👎,dare getting new phone phone number proceed login app new phone add new phone number account locked account days treated like miscreant remedy told wait maybe try calling back time total joke company closing account since soon log back horrible service,positive
Very fast.,fast,neutral
So heppiy.good apps,heppiy good apps,positive
Good,good,positive
I love this app so much 😍😍😍😍😍,love app much,positive
I am using it more and more!,using,neutral
"if the wouldnt do sharong of private informatiom thing should be better if you have this please remember let get them to go private, ellon sound his part, dont pay bills there fake",wouldnt sharong private informatiom thing better please remember let get go private ellon sound part dont pay bills fake,positive
"Quick, efficient",quick efficient,positive
Great app,great app,positive
"If you don't use it for a long time, it requires sms verification. Which is Ok, but... NO sms, despite the number is right. And no other ways to login. Call their office. No, thanks. Useless rubish.",use long time requires sms verification ok sms despite number right ways login call office thanks useless rubish,positive
"Impossible to donate from link, it is not recognized for the system for pay the PayPal links, I mean that the app is not registered in the options to open its links. Also in the app is impossible to paste anything in the search box. The worst app for ""fast"" payment or donations",impossible donate link recognized system pay paypal links mean app registered options open links also app impossible paste anything search box worst app fast payment donations,negative
Went well,went well,positive
I thought I can receive payment for PayPal account.but I can not see the money,thought receive payment paypal account see money,neutral
Paypal has improved over the years.,paypal improved years,positive
"Easy, very helpful.",easy helpful,positive
Why you sending me adverts on email while you block complete my name because I stop paying subscription for some dating website,sending adverts email block complete name stop paying subscription dating website,negative
No more updating I'm done with the mobile app,updating done mobile app,neutral
Easy.,easy,positive
Ok,ok,positive
Bisher nur positives zu berichten - seit über 10 Jahren dabei 😉,bisher nur positives zu berichten seit über jahren dabei,positive
Good,good,positive
Never used to buy but money seems to go in,never used buy money seems go,neutral
I love this app you guys I love the PayPal app you guys ok you guys,love app guys love paypal app guys ok guys,positive
Easy to use and makes it simple to send my family money,easy use makes simple send family money,positive
"PayPal allows scammers to continue scamming their clients. Stands with sellers that don't honor their word towards the buyer. They keep pushing your claim till after the 180 days mark allowed to open a claim and then they close your dispute to no avail and with no reasonable response. Even after submitting full proof that you did not receive the service requested from the seller , PayPal will not stand by you and keep asking for more ridiculous information to prolong your claim and the deny you.",paypal allows scammers continue scamming clients stands sellers honor word towards buyer keep pushing claim till days mark allowed open claim close dispute avail reasonable response even submitting full proof receive service requested seller paypal stand keep asking ridiculous information prolong claim deny,negative
"I have used this app for years, and now the thing looks like an AdSense partner. Slowed the app down to a point of uselessness. I (24) just spent half an hour trying to transfer money to someone who was standing in the room with me (also 24) and we couldn't figure that mess out. Change it back. Ugh.",used app years thing looks like adsense partner slowed app point uselessness spent half hour trying transfer money someone standing room also figure mess change back ugh,negative
Love,love,positive
"These days scammers are using PayPal to make fake payment, claiming that the PayPal account used for the payment is not a business account that it's limit needs to be increased, in order to that addition $200 needs to be send to the buyer as refund because they will pretend to send the addition amount just to scam. Be aware!!! Stay cautious...",days scammers using paypal make fake payment claiming paypal account used payment business account limit needs increased order addition needs send buyer refund pretend send addition amount scam aware stay cautious,negative
Excellent,excellent,positive
"Useless. I can't see the amount of money, and not very user friendly in other aspects as well. I have transfered rest of my money(took a wild guess) and will close the account",useless see amount money user friendly aspects well transfered rest money took wild guess close account,positive
"Great services, and ""has your back"".",great services back,positive
Very easy to use but u have to willing to share on Paypal thanks folks,easy use u willing share paypal thanks folks,positive
Great mobile easy to use. Helps me manage my money,great mobile easy use helps manage money,positive
I just need to figure out how to use all the rewards and deals but I'm loving it,need figure use rewards deals loving,positive
GRATE !,grate,neutral
Easy to use app.,easy use app,positive
Very Nice,nice,positive
It's easier to send and receive money from abroad. And also i like it because i can transfer money for my gcash and send money in my gcash. I have no problem using this app.,easier send receive money abroad also like transfer money gcash send money gcash problem using app,positive
They hold money for 21 days?? Thats too long. Someone needs money urgently and you hold? Then they hold money for 180 days without warning. This platform can kill people with depression.,hold money days thats long someone needs money urgently hold hold money days without warning platform kill people depression,positive
UI isn't the most intuitive as it used to be. But it's ok,ui intuitive used ok,positive
"👌🏻 Very good, thanks",good thanks,positive
Not that Bad,bad,negative
I love PayPal so far it's been safe to use when I'm sending money or receiving.,love paypal far safe use sending money receiving,positive
Great experience using this app... you should try it,great experience using app try,positive
Great,great,positive
"Paypal will rob you. Insiders in paypal scam you for your money, they are fraud artists. Your money is not safe, they will reach into your account, rob you blind and not follow thier policy or the law as they have recently done with me. I have hired a lawyer and now have to sue paypal. If you look up court cases, you will see I am not the only one. WARNING: YOU AND YOUR MONEY IS NOT SAFE WITH PAYPAL!!! If you have friends or a small business, try square or zelle or anyone that follows our laws.",paypal rob insiders paypal scam money fraud artists money safe reach account rob blind follow thier policy law recently done hired lawyer sue paypal look court cases see one warning money safe paypal friends small business try square zelle anyone follows laws,negative
"forced to use it, hate it every time. zero customer service.",forced use hate every time zero customer service,negative
Good service but your charges is very baad,good service charges baad,positive
Has to be the worst app for send and receiving money I ever used. They make it way to difficult to set up direct deposit to my bank account and the app crashes every time I try to upload or scan a document to prove identity. Also PayPal decides how much money you get at a time so even if you can get your money it's coming in increments of $190 at most.,worst app send receiving money ever used make way difficult set direct deposit bank account app crashes every time try upload scan document prove identity also paypal decides much money get time even get money coming increments,negative
"I was really about to give this 5 star but i faced very inconvenience which are not negligible. Firstly confirming bank account is time taking and can't helpful in emergency. By mistake if you have entered wrong amount once you won't be able to get that bank account back. And surprisingly when you reach to seek some helo from their customer care, only pre-recorded voices responses to you and you won't be able to get proper solution. PAYPAL we really enjoy this app if these problems are solved.",really give star faced inconvenience negligible firstly confirming bank account time taking helpful emergency mistake entered wrong amount able get bank account back surprisingly reach seek helo customer care pre recorded voices responses able get proper solution paypal really enjoy app problems solved,positive
I love the PayPal app! It makes buying things & s3nding money so much easier!,love paypal app makes buying things snding money much easier,positive
"Convenient, safe and reliable.",convenient safe reliable,positive
'Awsome😃',awsome,neutral
Easy to use and you get you're money fast and secure,easy use get money fast secure,positive
Easy peasy,easy peasy,positive
Super nice aop,super nice aop,positive
Slow,slow,neutral
"find it very easy to send funds, thank you.",find easy send funds thank,positive
It's fine.,fine,positive
Fine,fine,positive
"If I could rate this app and the company zero stars, I would. I've been trying to close my account for over a month and it's been utterly hopeless. Their customer support is a bad joke (they don't even use real people anymore, just a//i), and what should be simple when you do everything they ask of you has become a nightmare. Don't make the same mistake I did; run from PayPal as far as you can and never look back. I heard Stripe and Wise are good options.",could rate app company zero stars would trying close account month utterly hopeless customer support bad joke even use real people anymore simple everything ask become nightmare make mistake run paypal far never look back heard stripe wise good options,positive
No problems with it so far,problems far,negative
Nice,nice,positive
Love it the best for me,love best,positive
I'd be lost without this app,lost without app,negative
Schnell und einfach,schnell und einfach,neutral
"Always easy to send money to family,loving the GIFs too.👏👍",always easy send money family loving gifs,positive
"Bad. Uses a Passkey for login, but then still prompts for another second factor. Passkey are already phishing resistant multifactor authentication if you've implemented it right. Then asked for another step of verification every time I wanted to do anything as if I hadn't just signed on. So incredibly clunky and tedious to use. At least the Android app actually gave me feedback on the payment I was trying to make - on the web it'd do the card verification and then just spit me onto the dashboard",bad uses passkey login still prompts another second factor passkey already phishing resistant multifactor authentication implemented right asked another step verification every time wanted anything signed incredibly clunky tedious use least android app actually gave feedback payment trying make web card verification spit onto dashboard,negative
Love it,love,positive
Good,good,positive
"No wonder PayPal is losing market shares.. just made a payment from the app, could not use decimal numbers for the dot was not registering, no option to add a message to the payment and no option to change delivery address to another countries. And fees are way too high. Dinosaurs...",wonder paypal losing market shares made payment app could use decimal numbers dot registering option add message payment option change delivery address another countries fees way high dinosaurs,negative
Always crashing. Can't verify id because of this :(,always crashing verify id,neutral
"Pay pal is the best!!! THE BEST!!!! ALWAYS has Ur back; with security in transacting with other 'businesses' etc. Kool features, pay in 4, split the bill, send to ANYONE, is easy to use, and safe as!!!!!!!",pay pal best best always ur back security transacting businesses etc kool features pay split bill send anyone easy use safe,positive
Easy to use and very convenient.,easy use convenient,positive
"I can't add ,or send money in this stupid app.",add send money stupid app,negative
"If I could give this app a lower rating, I would. What is the point in having a mobile banking application just for them to put your transactions on hold? If you deal with transactions that are time sensitive do not use paypal. On top of that, when you try get help, you'll talk to an AI chatbot, not a real person. Google should allow us to give 0 stars, just for apps like paypal. AIRTM is better.",could give app lower rating would point mobile banking application put transactions hold deal transactions time sensitive use paypal top try get help talk ai chatbot real person google allow us give stars apps like paypal airtm better,positive
"Money doesn't go straight out of bank like it used to. Takes more than a few days and if you forget you used pp then you can spend the money twice without realising. Old paypal was much much better, I'll go back to normal bank transfers so I can track my money easier.",money go straight bank like used takes days forget used pp spend money twice without realising old paypal much much better go back normal bank transfers track money easier,positive
can I transfer money from Paypal to my GCash account?,transfer money paypal gcash account,neutral
This app is real and quick to send money to any country I love it👍❤️,app real quick send money country love,positive
Easy to use.,easy use,positive
Nightmarish. would not use if I didn't need to,nightmarish would use need,neutral
Beginning status,beginning status,neutral
Nice,nice,positive
❤️❤️,,neutral
Easy 😁,easy,positive
I use this always but there aren't many other options if you get paid for online work or games and surveys,use always many options get paid online work games surveys,neutral
"Garbage app, garbage company.",garbage app garbage company,neutral
Op,op,neutral
Super easy way to send $,super easy way send,positive
Easy to deal and fallow instructions.,easy deal fallow instructions,positive
Good,good,positive
Love it,love,positive
Swift,swift,positive
"einfach zu bedienen, super schnell, nie Probleme mit gehabt",einfach zu bedienen super schnell nie probleme mit gehabt,positive
"Just dandy, although it's not so easy to find where in the app to make transactions",dandy although easy find app make transactions,positive
won't load,load,neutral
"Venmo is owned by Paypal. Yet there is no easy way to transfer money between them!! How stupid is that? Tip: Don't use the app on your phone. Go to the Paypal website and use the ""Send and Receive with Visa+"" option. Will not work on your phone's app. Found under the 3 lines. Hope this helps someone so you can actually have access to your (not paypal's) money. The complicated nature of paypal has always seemed intentionally terrible. Tetering on scam.",venmo owned paypal yet easy way transfer money stupid tip use app phone go paypal website use send receive visa option work phone app found lines hope helps someone actually access paypal money complicated nature paypal always seemed intentionally terrible tetering scam,negative
BEST APP EVER L LIKE IT,best app ever l like,positive
So beautiful,beautiful,positive
"This is the first time I actually use it, and I get scammed. They refused to give me my money back, and I gave up with thier support. Utter useless waste of time, and my money. If it was possible to rate it a 0 star I would.",first time actually use get scammed refused give money back gave thier support utter useless waste time money possible rate star would,negative
amazing,amazing,positive
Convenient,convenient,neutral
"Stupid app, delete it , can't load banks , can't confirm bank so much issues and bugs ,",stupid app delete load banks confirm bank much issues bugs,negative
I love everything about PayPal,love everything paypal,positive
Super useful and simple,super useful simple,positive
"I HATE PAYPAL! So, l tried to buy stuff from a merchant and it says error with processing payment with PayPal and l still got charged with the card and they kept charging me. NEVER USE PAYPAL ON ANYTHING ! Recommend using physical cards 👌 !",hate paypal l tried buy stuff merchant says error processing payment paypal l still got charged card kept charging never use paypal anything recommend using physical cards,negative
"I like the app. It's easy to use, practical and efficient.",like app easy use practical efficient,positive
I love everything about this app and it's very easy to use...,love everything app easy use,positive
This app is cloned. Please remove all devices from this app.,app cloned please remove devices app,positive
Great,great,positive
Thanks Paypal,thanks paypal,positive
"Used to work well for me but recently I have been needing to verify myself repeatedly. No matter the amount, my funds still continue to get put ""on hold"" which leaves me with no access to them so I end up having to issue refunds or cancel payments altogether. PayPal needs to get it together. This is ridiculous. If I can rate 0 stars I would.",used work well recently needing verify repeatedly matter amount funds still continue get put hold leaves access end issue refunds cancel payments altogether paypal needs get together ridiculous rate stars would,negative
Great,great,positive
Very nice and very useful,nice useful,positive
Good past transaction,good past transaction,positive
Got a new phone with a new number and I tried for the hours to get logged in,got new phone new number tried hours get logged,positive
What's the point in using cash a check on PayPal when it's not working properly. What's going on here on this app so disappointed 😔. 0 stars across the board.,point using cash check paypal working properly going app disappointed stars across board,negative
Login is ridiculous never identifys my fingerprint and then takes forever.,login ridiculous never identifys fingerprint takes forever,negative
I'm so fed up with paypal locking my account everything someone sends me money! EVERY SINGLE TIME!!!,fed paypal locking account everything someone sends money every single time,neutral
"Not bad, new phone, trying to remember how to add the pay pal app to my screen",bad new phone trying remember add pay pal app screen,negative
Malou,malou,neutral
app never works,app never works,neutral
Love it. Works with everything.,love works everything,positive
Been two months with out a resolution to a payment issue.,two months resolution payment issue,neutral
Always gives me error messages,always gives error messages,negative
Fast and easy,fast easy,positive
Normally good,normally good,positive
"It's was very easy to use, and very convenient, thank you so much.",easy use convenient thank much,positive
Easy to send family money,easy send family money,positive
Good,good,positive
Don't know absolutely when you guys start doing the negative balance thing but you got to charge $80 to my balance then had the audacity to let somebody take money out of my account and said that they had ordered some type of product for me when I don't sell anything like makes no sense you guys have a horrible system going on I think you guys need to fix it I know you guys need to fix it fix it please,know absolutely guys start negative balance thing got charge balance audacity let somebody take money account said ordered type product sell anything like makes sense guys horrible system going think guys need fix know guys need fix fix please,negative
"No email option for grievance handling!!! There was an unauthorized and unplanned payment. I trusted PayPal when I added my card details to my account. The card linked to the an app via Paypal has no balance, yet PayPal redirected the payment to another card saved in my wallet without my consent. This allowed the merchant to access a card they should not have been able to use. when I raised a dispute, PayPal dismissed it prioritizing the seller’s claims over the customer's concerns.",email option grievance handling unauthorized unplanned payment trusted paypal added card details account card linked app via paypal balance yet paypal redirected payment another card saved wallet without consent allowed merchant access card able use raised dispute paypal dismissed prioritizing seller claims customer concerns,negative
Your app is not allowing me to deposit my checks which is causing an error message. The app is down when trying to deposit/ cash check.,app allowing deposit checks causing error message app trying deposit cash check,negative
Simple to use and efficient.,simple use efficient,positive
Quick and easy,quick easy,positive
Can't load app on my device,load app device,neutral
To many fees,many fees,neutral
Good,good,positive
My paypal account dont want to log in😩,paypal account dont want log,negative
I love this app so much using it for years!,love app much using years,positive
"The app is completely broken. Can't login: after entering credentials it checks that I'm a human, then sends verification SMS. And when all is complete, it starts from the beginning login attempt. I tried 5 times and gave up.",app completely broken login entering credentials checks human sends verification sms complete starts beginning login attempt tried times gave,negative
"In the most recent update, completely removed the ability to see how much money you have in your PayPal account?? I'm seeing SO many complaints about this, and it's the most idiotic thing to have done.",recent update completely removed ability see much money paypal account seeing many complaints idiotic thing done,negative
Easy to Use,easy use,positive
I like the ease of using this app.,like ease using app,positive
Ok but hard to find my account so I had to make another,ok hard find account make another,positive
Fast,fast,neutral
My experience was wonderful!,experience wonderful,positive
It's good,good,positive
"Twice, hackers have manage to use my account and somehow get the securitycode that is sent via mobile. PayPal is not safe. Low security. Do not use!",twice hackers manage use account somehow get securitycode sent via mobile paypal safe low security use,positive
Great,great,positive
A stupid app. Can't even verify my id,stupid app even verify id,negative
Holds your money for absolutely no reason,holds money absolutely reason,neutral
"It was great, i really liked it because I could put my checks on it and have my money instantly on there without going through so many hoops but now I'm unable to put my checks on it. PayPal has been giving me issues with putting my checks on there, even though I've been doing it for quite some time. It's getting to a point where I may have to resort back to what I've been doing before. If this isn't fixed I can't use PayPal like how I want to. I hope this issue gets fixed, it's a problem.",great really liked could put checks money instantly without going many hoops unable put checks paypal giving issues putting checks even though quite time getting point may resort back fixed use paypal like want hope issue gets fixed problem,positive
I love PayPal the security is great the app is great I'll be using this app forever.,love paypal security great app great using app forever,positive
PayPal has away been quick and accurate,paypal away quick accurate,neutral
Easy to handle. Very nice App.,easy handle nice app,positive
Smooth and easy. Love love love paypal!! 💋,smooth easy love love love paypal,positive
Awesome!,awesome,positive
Best Thing Ever,best thing ever,positive
Very convenient way of sending money to friends and family at home and abroad 🧡,convenient way sending money friends family home abroad,positive
Horrible They screwed me over Anc contacting is horgoble,horrible screwed anc contacting horgoble,negative
I dont even know how to begin.. They will tell you to link your account in the website when it bring you to your default browser it won't link instead it will be doing anyhow so frustrating I have to close my account and reopen new but immediately I submit same I'd card which mine I gave them they limited my account permanently for 180 days that's like half of a year that I can't receive or send money but can still use the app how?.what I'm doing in the app if not to receive international money?,dont even know begin tell link account website bring default browser link instead anyhow frustrating close account reopen new immediately submit card mine gave limited account permanently days like half year receive send money still use app app receive international money,negative
"Shockingly weak data protection with a new ""opt out"" to having your personal data sold to ad makers. Close account and uninstall.",shockingly weak data protection new opt personal data sold ad makers close account uninstall,negative
very helpful and convenient,helpful convenient,positive
"Paypal is my #1 debit card payment option. It is very secure & fast. LOVE the security checks that they perform if they feel a need to do so for my security. The extra security only takes a few seconds, but priceless for me. Really like the auto reload feature. Great work folks",paypal debit card payment option secure fast love security checks perform feel need security extra security takes seconds priceless really like auto reload feature great work folks,positive
App crashing out when I try to start it,app crashing try start,neutral
"This app is beyond frustrating. I was forced to download the app because I was required to confirm a transfer for ""security"", even though I have 2FA enabled. I had been using PayPal on browser without any problems before that. I got the app, it gave me several annoying captcha tasks. Then, it asked for the 2FA code, but when I switched to the authenticator app to see code, I got logged out of PayPal. If you switch to a different app for 5 seconds, you get kicked out. I had to try 3 times.",app beyond frustrating forced download app required confirm transfer security even though fa enabled using paypal browser without problems got app gave several annoying captcha tasks asked fa code switched authenticator app see code got logged paypal switch different app seconds get kicked try times,negative
Perfect to send and receive money in difficult situations! :),perfect send receive money difficult situations,positive
Always good to have PayPal when cash app doesn't let certain ppl apply,always good paypal cash app let certain ppl apply,positive
Great way to send money fast.,great way send money fast,positive
To go App for purchasing,go app purchasing,neutral
nice!!,nice,positive
Fast and efficient,fast efficient,positive
Have major issues I could even register my card,major issues could even register card,neutral
"Can't cash checks anymore because of their new update. I have really enjoyed paypal but this update is terrible, please fix ASAP",cash checks anymore new update really enjoyed paypal update terrible please fix asap,positive
"Not sure when they started this, but I no longer have option to pick my card on payment due to auto pay/recurring payment ""feature"" that makes PP inferior to other wallets like Google Pay. Removing it (need to use website) doesn't help and it persists once you try to make a payment with the same store/app.",sure started longer option pick card payment due auto pay recurring payment feature makes pp inferior wallets like google pay removing need use website help persists try make payment store app,positive
App refuses to let me transfer money to my bank account - by not letting me type any numbers. So creative!,app refuses let transfer money bank account letting type numbers creative,positive
"It's good, coz it help alot",good coz help alot,positive
Great Widget .,great widget,positive
You need a flipping phone number,need flipping phone number,positive
This app allows hackers,app allows hackers,neutral
Works,works,neutral
